verb,noun,plural
 ميلمتر, ميلمتر, ميلّيمترْ
 متر مربع, متر مربع, مترْ مربعْ
 سنتيمتر, سنتيمتر, سَنتيمترْ
 متر مكعب, متر مكعب, مترْ مكعبْ
 متر, متر, مترْ
 هكتار, هكتار, هكتارْ
 كيلومتر, كيلومتر, كيلومترْ
 أونص, أونص,أونْصْ
 إنش, إنش,إنْش
 غالون, جالون, galon
 قدم,ءدم,ءدَمْ
 جرام / غرام,جرام,جِرامْ
 يارد,يارده,يّارداهْ
 كيلوغرام,كيلو,كيلوْ
 ميل,ميل,ميلْ
 رطل,رطل,رطْلْ
 فدان,فدان,فَدّانْ
 لتر,لتر,لِتْرْ
 الطول, الطول, الطولْ
 العرض, العرض, العرضْ
 الارتفاع, الارتفاع, الارتفاعْ
 طول,طول,طُولْ
 الوزن,الوزن,الوزنْ
 الحجم,الحجم ,الحجم ْ
